Objekt,Ebene,Bauteil,AKS Plan,AKS real,alte Türnummer ,Schlossernummer,Höhe [cm],Breite [cm],Zylinder [Z/B/WC/S] ,"Flügel [1,2,3]",Hersteller,Seriennummer,Feuerwider-stand,Brand-schutz-grenze [ja/nein],Flucht [ja/nein],Fluchtwegs-tür Nr,Panik [D/ St.K],Nottaster [ja/nein],Offenhalte-magnet [ja/nein],Taster für Schließung [ja/nein],Vorsicherung [ja/nein],SZ - Magnet [ja/nein],Bemerkung,AKS_Plan,AKS_real,Name,Nummer,StatusText,Status,CLASS,Raum2,Raum2[2],tow.tod::anmerkung,tow_tod_last::durchführung,tow_tod_last::pnl_Nme,pnl.tow.tod_last::f_Name,eAntrieb,exf01,haltemechanik,hersteller,klassifikation,lfd.,Plan Nr.,BAUTEIL,EBENE,MODUL,RAUMNR.,NR.,FLUCHT MÖGLICH,Unnamed: 8,BLINDZYL./ ROSETTE/ ABDECKUNG,ZYL.,PANIKSCHLOSS,VERSPERRT,VERSPERRBAR,Unnamed: 14,NOTTASTER,Unnamed: 16,MÄNGEL,Unnamed: 18,Bewertung,Unnamed: 20,übermittelt,OBJ.,GESCH.,Alte Türnummer,BSTüreALT,Raumnr.,AKS RAUM,UZ6/Steu.,KREIS,LFD. NR,INFO
420.0,01,A,0512.01,0512.01,keineNr.,Nichtvorhanden,200.0,90,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0512.01,42001A0512.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0512.02,0512.02,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0512.02,42001A0512.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0512.03,0512.03,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0512.03,42001A0512.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0512.04,0512.04,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0512.04,42001A0512.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0512.05,0512.05,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0512.05,42001A0512.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0512.06,0512.06,keineNr.,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0512.06,42001A0512.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0510.01,0510.01,105,Nichtvorhanden,200.0,90,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0510.01,42001A0510.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0230.01,0230.01,116A,420/1/4,200.0,100/63,Z/S,2,KeinHersteller,Nichtlesbar,nein,ja,ja,3,D/D,Nein,Ja,Ja,Nein,Ja,keineHerstellerangaben,42001A0230.01,42001A0230.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0334.01,0334.01,103,Nichtvorhanden,200.0,100,B,1,KeinHersteller,Nichtlesbar,nein,nein,ja,4,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0334.01,42001A0334.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0632.01,0632.01,105,Nichtvorhanden,200.0,90,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0632.01,42001A0632.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0630.01,0630.01,107,Nichtvorhanden,200.0,90,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0630.01,42001A0630.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0330.01,0330.01,keineNr.,Nichtvorhanden,200.0,90,B,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0330.01,42001A0330.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
